No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,0.01-1 TeV (Fermi),2.59E-12,+/-1.27E-12,erg/cm^2^/s,1.22E26,2.12E-15,1.04E-15,1.04E-15,,,+/-1.04E-15,Jy,2017ApJS..232...18A,1 sigma,0.51 TeV,Broad-band measurement,050.669998 -37.209999 (J2000),From fitting to map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
2,0.1-100 GeV (Fermi),6.0E-12,+/-1.2E-12,erg/cm^2^/s,1.21E25,4.96E-14,9.92E-15,9.92E-15,,,+/-9.92E-15,Jy,2012ApJS..199...31N,1 sigma,50.05 GeV,Broad-band measurement,050.600 -37.292 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,2-10 keV (XMM),2.8E-13,,erg/s/cm^2^,1.45E18,1.93E-8,,,,,,Jy,2011MNRAS.413.1206B,no uncertainty reported,6.00 keV,Broad-band measurement,050.672 -37.209 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,0.3-8 keV (XMM),2.4E-14,+/-0.7E-14,erg/s/cm^2^,1.0E18,2.4E-9,7.0E-10,7.0E-10,,,+/-7.00E-10,Jy,2010ApJ...721.1702L,uncertainty,4.15  keV,Broad-band measurement,,Modelled datum,Nuclear flux,From new raw data; NED frequency assigned to mid-point ofband in keV
5,0.3-8 keV (Chandra),1.592E-13,+/-0.64E-14,erg/s/cm^2^,1.0E18,1.59E-8,6.4E-10,6.4E-10,,,+/-6.40E-10,Jy,2011ApJ...731...60G,uncertainty,4.15 keV,Broad-band measurement,03 22 41.7 +37 12 30 (J2000),Flux integrated from map,Nuclear flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,0.3-8 keV (Chandra),4.07E-13,,erg/s/cm^2^,1.0E18,4.07E-8,,,,,,Jy,2011ApJS..192...10L,no uncertainty reported,4.15 keV,Broad-band measurement,03 22 41.707 -37 12 28.76 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,0.3-8 keV (Chandra),3.07E-13,,erg/cm^2^/s,1.0E18,3.07E-8,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
8,2-7 keV Chandra,1.7973E-14,+/-4.5602E-15,erg/cm^2/s,9.19E17,1.96E-9,4.96E-10,4.96E-10,,,+/-4.96E-10,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;ext,From new raw data; Uncorrected for known sources in beam
9,2-7 keV Chandra,1.7973E-14,+/-4.5602E-15,erg/cm^2/s,9.19E17,1.96E-9,4.96E-10,4.96E-10,,,+/-4.96E-10,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;ext,From new raw data; Uncorrected for known sources in beam
10,2-7 keV Chandra,2.0407E-14,+/-4.7704E-15,erg/cm^2/s,9.19E17,2.22E-9,5.19E-10,5.19E-10,,,+/-5.19E-10,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,From fitting to map,flux_aper90;ext,From new raw data; Uncorrected for known sources in beam
11,2-7 keV Chandra,2.0407E-14,+/-4.7704E-15,erg/cm^2/s,9.19E17,2.22E-9,5.19E-10,5.19E-10,,,+/-5.19E-10,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;ext,From new raw data; Uncorrected for known sources in beam
12,0.5-7 keV Chandra,3.7989E-14,+/-3.5819E-15,erg/cm^2/s,5.56E17,6.83E-9,6.44E-10,6.44E-10,,,+/-6.44E-10,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;ext,From new raw data; Uncorrected for known sources in beam
13,0.5-7 keV Chandra,3.7989E-14,+/-3.5819E-15,erg/cm^2/s,5.56E17,6.83E-9,6.44E-10,6.44E-10,,,+/-6.44E-10,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;ext,From new raw data; Uncorrected for known sources in beam
14,0.5-7 keV Chandra,3.4523E-14,+/-3.1205E-15,erg/cm^2/s,5.56E17,6.21E-9,5.61E-10,5.61E-10,,,+/-5.61E-10,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,From fitting to map,flux_aper90;ext,From new raw data; Uncorrected for known sources in beam
15,0.5-7 keV Chandra,3.4523E-14,+/-3.1205E-15,erg/cm^2/s,5.56E17,6.21E-9,5.61E-10,5.61E-10,,,+/-5.61E-10,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;ext,From new raw data; Uncorrected for known sources in beam
16,0.2-4 keV (EINSTEIN),1.162E-12,,ergs sec^-1^ cm^-2^,5.25E17,2.22E-7,,,,,,Jy,1992ApJS...80..531F,no uncertainty reported,2.1    keV,Broad-band measurement; synthetic band,03 20 47.2 -37 23 07 (B1950),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
17,0.2-4 keV (EINSTEIN),1.986E-12,,ergs sec^-1^ cm^-2^,5.25E17,3.79E-7,,,,,,Jy,1992ApJS...80..531F,no uncertainty reported,2.1    keV,Broad-band measurement; synthetic band,03 20 47 -37 22 53 (B1950),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
18,1.2-2 keV Chandra,6.8599E-15,+/-1.3720E-15,erg/cm^2/s,3.77E17,1.82E-9,3.64E-10,3.64E-10,,,+/-3.64E-10,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;ext,From new raw data; Uncorrected for known sources in beam
19,1.2-2 keV Chandra,6.8599E-15,+/-1.3720E-15,erg/cm^2/s,3.77E17,1.82E-9,3.64E-10,3.64E-10,,,+/-3.64E-10,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;ext,From new raw data; Uncorrected for known sources in beam
20,1.2-2 keV Chandra,6.569E-15,+/-1.2138E-15,erg/cm^2/s,3.77E17,1.74E-9,3.22E-10,3.22E-10,,,+/-3.22E-10,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,From fitting to map,flux_aper90;ext,From new raw data; Uncorrected for known sources in beam
21,1.2-2 keV Chandra,6.569E-15,+/-1.2138E-15,erg/cm^2/s,3.77E17,1.74E-9,3.22E-10,3.22E-10,,,+/-3.22E-10,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;ext,From new raw data; Uncorrected for known sources in beam
22,0.1-2.4 keV (ROSAT),2.44E-12,+/-3.88E-13,ergs sec^-1^ cm^-2^,3.25E17,7.51E-7,1.19E-7,1.19E-7,,,+/-1.19E-07,Jy,1994A&A...281..355B,based on count statistics only,1.3   keV,Broad-band measurement; synthetic band,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
23,0.5-2.0 keV Chandra,-12.07,+/-0.006,log(erg/cm^2^/s),3.02E17,2.82E-7,3.89E-9,3.89E-9,,,+/-3.89E-09,Jy,2018ApJ...857...32B,uncertainty,1.25 keV,Broad-band measurement,240.1627 -56.6898 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
24,0.5-1.2 keV Chandra,1.368E-14,+/-1.7292E-15,erg/cm^2/s,2.22E17,6.15E-9,7.77E-10,7.77E-10,,,+/-7.77E-10,Jy,2020CSC...C2..0000:,68% confidence,0.92       keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;ext,From new raw data; Uncorrected for known sources in beam
25,0.5-1.2 keV Chandra,1.368E-14,+/-1.7292E-15,erg/cm^2/s,2.22E17,6.15E-9,7.77E-10,7.77E-10,,,+/-7.77E-10,Jy,2020CSC...C2..0000:,68% confidence,0.92       keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;ext,From new raw data; Uncorrected for known sources in beam
26,0.5-1.2 keV Chandra,1.1688E-14,+/-1.5206E-15,erg/cm^2/s,2.22E17,5.25E-9,6.84E-10,6.84E-10,,,+/-6.84E-10,Jy,2020CSC...C2..0000:,68% confidence,0.92       keV,Broad-band measurement,,From fitting to map,flux_aper90;ext,From new raw data; Uncorrected for known sources in beam
27,0.5-1.2 keV Chandra,1.1688E-14,+/-1.5206E-15,erg/cm^2/s,2.22E17,5.25E-9,6.84E-10,6.84E-10,,,+/-6.84E-10,Jy,2020CSC...C2..0000:,68% confidence,0.92       keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;ext,From new raw data; Uncorrected for known sources in beam
28,0.2-0.5 keV Chandra,2.2921E-15,+/-8.5393E-16,erg/cm^2/s,9.67E16,2.37E-9,8.83E-10,8.83E-10,,,+/-8.83E-10,Jy,2020CSC...C2..0000:,68% confidence,0.4        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;ext,From new raw data; Uncorrected for known sources in beam
29,0.2-0.5 keV Chandra,2.2921E-15,+/-8.5393E-16,erg/cm^2/s,9.67E16,2.37E-9,8.83E-10,8.83E-10,,,+/-8.83E-10,Jy,2020CSC...C2..0000:,68% confidence,0.4        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;ext,From new raw data; Uncorrected for known sources in beam
30,0.2-0.5 keV Chandra,1.9883E-15,+/-7.8113E-16,erg/cm^2/s,9.67E16,2.06E-9,8.08E-10,8.08E-10,,,+/-8.08E-10,Jy,2020CSC...C2..0000:,68% confidence,0.4        keV,Broad-band measurement,,From fitting to map,flux_aper90;ext,From new raw data; Uncorrected for known sources in beam
31,0.2-0.5 keV Chandra,1.9883E-15,+/-7.8113E-16,erg/cm^2/s,9.67E16,2.06E-9,8.08E-10,8.08E-10,,,+/-8.08E-10,Jy,2020CSC...C2..0000:,68% confidence,0.4        keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;ext,From new raw data; Uncorrected for known sources in beam
33,FUV (GALEX) AB,15.33,+/-0.02,mag,1.98E15,0.00268,4.94E-5,4.94E-5,,,+/-4.94E-05,Jy,2007ApJS..173..185G,uncertainty,1516 A,Broad-band measurement,03 22 41.7 -37 12 29.6 (J2000),Total flux,,From new raw data
34,FUV (GALEX) AB,15.071,+/-0.056,mag,1.98E15,0.0034,1.75E-4,1.75E-4,,,+/-1.75E-04,Jy,2009ApJ...703.1569M,statistical error,1516 A,Broad-band measurement,03 22 41.7 -37 12 29.6 (J2000),Flux in fixed aperture,Asymptotic magnitude,From reprocessed raw data; Extinction-corrected for Milky Way
35,FUV (GALEX),3.13,+/-0.44,milliJy,1.96E15,0.00313,4.4E-4,4.4E-4,,,+/-4.40E-04,Jy,2007ApJ...655..863D,uncertainty,1528   A,Broad-band measurement,03 22 41.2 -37 12 10 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
36,FUV (GALEX),15.58,+/-0.11,mag,1.95E15,3.05E-4,3.09E-5,3.09E-5,,,+/-3.09E-05,Jy,2015ApJS..220....6B,uncertainty,1539 A,Broad-band measurement,03 22 41.736 -37 12 29.56 (J2000),Flux in fixed aperture,Asymptotic magnitude,From reprocessed raw data
37,FUV (GALEX),15.37,+/-0.01,mag,1.95E15,3.7E-4,3.41E-6,3.41E-6,,,+/-3.41E-06,Jy,2015ApJS..220....6B,uncertainty,1539 A,Broad-band measurement,03 22 41.736 -37 12 29.56 (J2000),Flux in fixed aperture,D25 magnitude,From reprocessed raw data
38,FUV (GALEX) AB,15.99,,mag,1.95E15,0.00146,,,,,,Jy,2016ApJ...818..182V,no uncertainty reported,1539 A,Broad-band measurement,03 22 41.710 -37 12 28.70 (J2000),Total flux,,From reprocessed raw data
39,FUV (GALEX) AB,15.8368,+/-0.0286771,mag,1.95E15,0.00168,4.44E-5,4.44E-5,,,+/-4.44E-05,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,50.674392345154 -37.20800757318 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
40,FUV (GALEX) AB,19.7805,+/-0.156358,mag,1.95E15,4.44E-5,6.4E-6,6.4E-6,,,+/-6.40E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,50.674392345154 -37.20800757318 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
41,FUV (GALEX) AB,15.32,+/-0.006,mag,1.92E15,0.0027,1.49E-5,1.49E-5,,,+/-1.49E-05,Jy,2007ApJS..173..597D,uncertainty,1565 A,Broad-band measurement,,Flux in fixed aperture,12.3' elliptical aperture,From new raw data; Extinction-corrected for Milky Way
42,UV_1650 (m_T),13.58,+/-0.22,mag,1.82E15,0.00122,2.74E-4,2.74E-4,,,+/-2.74E-04,Jy,1995A&AS..114..527R,mean error,1650       A,Broad-band measurement; broad-band flux derived by integration over spectrum; synthetic band,032047 -372306 (B1950),Multiple methods,,Homogenized from previously published data
43,NUV (GALEX),16.58,+/-2.30,milliJy,1.32E15,0.0166,0.0023,0.0023,,,+/-2.30E-03,Jy,2007ApJ...655..863D,uncertainty,2271   A,Broad-band measurement,03 22 41.2 -37 12 10 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
44,NUV (GALEX) AB,13.52,+/-0.01,mag,1.32E15,0.0142,1.31E-4,1.31E-4,,,+/-1.31E-04,Jy,2007ApJS..173..185G,uncertainty,2267 A,Broad-band measurement,03 22 41.7 -37 12 29.6 (J2000),Total flux,,From new raw data
45,NUV (GALEX) AB,13.079,+/-0.026,mag,1.32E15,0.0213,5.1E-4,5.1E-4,,,+/-5.10E-04,Jy,2009ApJ...703.1569M,statistical error,2267 A,Broad-band measurement,03 22 41.7 -37 12 29.6 (J2000),Flux in fixed aperture,Asymptotic magnitude,From reprocessed raw data; Extinction-corrected for Milky Way
46,NUV (GALEX) AB,13.58,+/-0.001,mag,1.3E15,0.0134,1.24E-5,1.24E-5,,,+/-1.24E-05,Jy,2007ApJS..173..597D,uncertainty,2301 A,Broad-band measurement,,Flux in fixed aperture,12.3' elliptical aperture,From new raw data; Extinction-corrected for Milky Way
47,NUV (GALEX) AB,14.1196,+/-0.00665036,mag,1.29E15,0.00817,5.0E-5,5.0E-5,,,+/-5.00E-05,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,50.674392345154 -37.20800757318 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
48,NUV (GALEX) AB,18.3291,+/-0.0470893,mag,1.29E15,1.69E-4,7.34E-6,7.34E-6,,,+/-7.34E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,50.674392345154 -37.20800757318 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
49,NUV (GALEX),13.86,+/-0.05,mag,1.29E15,0.00225,1.04E-4,1.04E-4,,,+/-1.04E-04,Jy,2015ApJS..220....6B,uncertainty,2316 A,Broad-band measurement,03 22 41.736 -37 12 29.56 (J2000),Flux in fixed aperture,Asymptotic magnitude,From reprocessed raw data
50,NUV (GALEX),13.85,+/-0.01,mag,1.29E15,0.00227,2.1E-5,2.1E-5,,,+/-2.10E-05,Jy,2015ApJS..220....6B,uncertainty,2316 A,Broad-band measurement,03 22 41.736 -37 12 29.56 (J2000),Flux in fixed aperture,D25 magnitude,From reprocessed raw data
51,NUV (GALEX) AB,14.12,,mag,1.29E15,0.00817,,,,,,Jy,2016ApJ...818..182V,no uncertainty reported,2316 A,Broad-band measurement,03 22 41.710 -37 12 28.70 (J2000),Total flux,,From reprocessed raw data
52,UV_2500 (m_T),12.3,+/-0.24,mag,1.2E15,0.0091,0.00225,0.00225,,,+/-2.25E-03,Jy,1995A&AS..114..527R,mean error,2500       A,Broad-band measurement; broad-band flux derived by integration over spectrum; synthetic band,032047 -372306 (B1950),Multiple methods,,Homogenized from previously published data
53,UV_3150 (m_T),10.5,+/-0.14,mag,9.52E14,0.0758,0.0104,0.0104,,,+/-1.04E-02,Jy,1995A&AS..114..527R,mean error,3150       A,Broad-band measurement; broad-band flux derived by integration over spectrum; synthetic band,032047 -372306 (B1950),Multiple methods,,Homogenized from previously published data
54,U (U_T^0),9.8,,mag,8.19E14,0.218,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,3660       A,Broad-band measurement,032047.0 -372306 (B1950),Multiple methods,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
55,U (U_T),9.81,+/-0.09,mag,8.19E14,0.216,0.0177,0.0177,,,+/-1.77E-02,Jy,1991RC3.9.C...0000d,rms uncertainty,3660       A,Broad-band measurement,032047.0 -372306 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
57,B (m_B),9.44,+/-0.15,mag,6.81E14,0.714,0.106,0.106,,,+/-1.06E-01,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,032047.0 -372306 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
58,B (B_T),9.42,+/-0.08,mag,6.81E14,0.727,0.0556,0.0556,,,+/-5.56E-02,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,032047.0 -372306 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
59,B (Cousins) (B_T),9.15,+/-0.09,mag,6.81E14,0.929,0.0803,0.0803,,,+/-8.03E-02,Jy,1989ESOLV.C...0000L,typical accuracy,4400       A,Broad-band measurement; photometric system transformed,032047 -3723.2 (B1950),Modelled datum,See ESO-LV catalog for warning flag.,From new raw data
60,B (Cousins) (B_25),9.35,+/-0.09,mag,6.81E14,0.775,0.067,0.067,,,+/-6.70E-02,Jy,1989ESOLV.C...0000L,typical accuracy,4400       A,Broad-band measurement; photometric system transformed,032047 -3723.2 (B1950),Modelled datum,See ESO-LV catalog for warning flag.,From new raw data
61,B (B_T^0),9.4,,mag,6.81E14,0.74,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,4400       A,Broad-band measurement,032047.0 -372306 (B1950),Multiple methods,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
62,B (Cousins) (B_26),9.25,+/-0.09,mag,6.81E14,0.852,0.0737,0.0737,,,+/-7.37E-02,Jy,1989ESOLV.C...0000L,typical accuracy,4400       A,Broad-band measurement; photometric system transformed,032047 -3723.2 (B1950),Modelled datum,See ESO-LV catalog for warning flag.,From new raw data
63,B,0.79,,Jy,6.66E14,0.79,,,,,,Jy,2007ApJ...655..863D,no uncertainty reported,0.45   microns,Broad-band measurement,03 22 41.2 -37 12 10 (J2000),Total flux,,From new raw data; Extinction-corrected for Milky Way
65,F555W (WFPC2),19.9,,mag,5.55E14,4.09E-5,,,,,,Jy,2005AJ....129.2138L,no uncertainty reported,5397   A,Broad-band measurement,,Total flux,nuclear magnitude only,From new raw data; Extinction-corrected for Milky Way
66,V,1.61,,Jy,5.45E14,1.61,,,,,,Jy,2007ApJ...655..863D,no uncertainty reported,0.55   microns,Broad-band measurement,03 22 41.2 -37 12 10 (J2000),Total flux,,From new raw data; Extinction-corrected for Milky Way
67,V (Johnson),9.98,+/-0.02,mag,5.42E14,0.371,0.00689,0.00689,,,+/-6.89E-03,Jy,1979ApJS...39...61P,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"60.9"" aperture",From new raw data
68,V (Johnson),10.34,+/-0.02,mag,5.42E14,0.266,0.00495,0.00495,,,+/-4.95E-03,Jy,1979ApJS...39...61P,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"40.3"" aperture",From new raw data
69,V (Johnson),10.78,+/-0.02,mag,5.42E14,0.178,0.0033,0.0033,,,+/-3.30E-03,Jy,1979ApJS...39...61P,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"25.9"" aperture",From new raw data
70,V (Johnson),12.78,+/-0.01,mag,5.42E14,0.0281,2.6E-4,2.6E-4,,,+/-2.60E-04,Jy,1980ApJ...237..303S,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"4.07"" aperture",From new raw data; derived from a flux in a different bandand a color
71,V (Johnson),8.93,,mag,5.42E14,0.975,,,,,,Jy,1988VIrPh.C...0000d,no uncertainty reported,5530   A,Broad-band measurement,,Flux in fixed aperture,"261.9"" aperture",From new raw data
72,V (Johnson),9.34,,mag,5.42E14,0.668,,,,,,Jy,1988VIrPh.C...0000d,no uncertainty reported,5530   A,Broad-band measurement,,Flux in fixed aperture,"140.7"" aperture;Low quality data",From new raw data
73,V (Johnson),9.43,+/-0.02,mag,5.42E14,0.615,0.0114,0.0114,,,+/-1.14E-02,Jy,1979ApJS...39...61P,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"119.1"" aperture",From new raw data
74,V (Johnson),9.64,+/-0.02,mag,5.42E14,0.507,0.00943,0.00943,,,+/-9.43E-03,Jy,1979ApJS...39...61P,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"90.4"" aperture",From new raw data
75,V (Johnson),10.05,+/-0.03,mag,5.42E14,0.348,0.00974,0.00974,,,+/-9.74E-03,Jy,1975ApJ...202..563S,uncertainty,5530   A,Broad-band measurement; photometric system transformed,,Flux in fixed aperture,"54.3"" aperture",From new raw data
76,V (Johnson),10.43,+/-0.03,mag,5.42E14,0.245,0.00686,0.00686,,,+/-6.86E-03,Jy,1975ApJ...202..563S,uncertainty,5530   A,Broad-band measurement; photometric system transformed,,Flux in fixed aperture,"35.6"" aperture",From new raw data
77,V (Johnson),9.98,+/-0.02,mag,5.42E14,0.371,0.00689,0.00689,,,+/-6.89E-03,Jy,1978ApJ...223..707S,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"59.5"" aperture",From new raw data
78,V (Johnson),10.59,+/-0.02,mag,5.42E14,0.211,0.00393,0.00393,,,+/-3.93E-03,Jy,1978ApJ...223..707S,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"29.8"" aperture",From new raw data
79,V (Johnson),9.7,+/-0.03,mag,5.42E14,0.48,0.0134,0.0134,,,+/-1.34E-02,Jy,1975ApJ...202..563S,uncertainty,5530   A,Broad-band measurement; photometric system transformed,,Flux in fixed aperture,"81.2"" aperture",From new raw data
80,V (Johnson),9.5,+/-0.03,mag,5.42E14,0.577,0.0162,0.0162,,,+/-1.62E-02,Jy,1975ApJ...202..563S,uncertainty,5530   A,Broad-band measurement; photometric system transformed,,Flux in fixed aperture,"107.8"" aperture",From new raw data
81,V (Johnson),10.6,+/-0.02,mag,5.42E14,0.21,0.00389,0.00389,,,+/-3.89E-03,Jy,1978ApJ...223..707S,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"29.8"" aperture",From new raw data
82,V (Johnson),9.59,+/-0.02,mag,5.42E14,0.531,0.00987,0.00987,,,+/-9.87E-03,Jy,1978ApJ...223..707S,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"83.7"" aperture",From new raw data
83,V (Johnson),11.29,+/-0.02,mag,5.42E14,0.111,0.00206,0.00206,,,+/-2.06E-03,Jy,1978ApJ...223..707S,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"14.8"" aperture",From new raw data
84,V (Johnson),9.97,+/-0.02,mag,5.42E14,0.374,0.00696,0.00696,,,+/-6.96E-03,Jy,1978ApJ...223..707S,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"59.5"" aperture",From new raw data
85,V (V_T),8.53,+/-0.08,mag,5.42E14,1.41,0.109,0.109,,,+/-1.09E-01,Jy,1991RC3.9.C...0000d,rms uncertainty,5530       A,Broad-band measurement,032047.0 -372306 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
86,V (V_T^0),8.53,,mag,5.42E14,1.41,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,5530       A,Broad-band measurement,032047.0 -372306 (B1950),Multiple methods,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
87,R (Cousins) (R_25),7.91,+/-0.09,mag,4.68E14,2.11,0.183,0.183,,,+/-1.83E-01,Jy,1989ESOLV.C...0000L,typical accuracy,6400       A,Broad-band measurement; photometric system transformed,032047 -3723.2 (B1950),Modelled datum,See ESO-LV catalog for warning flag.,From new raw data
